UTC login time = 1/23/2023 1:49:04 PM, User = 1
UTC login time = 1/23/2023 1:50:38 PM, User = 1
UTC login time = 1/23/2023 1:51:47 PM, User = 1
UTC login time = 1/23/2023 1:52:45 PM, User = 1
UTC login time = 1/23/2023 1:53:10 PM, User = 1
UTC login time = 1/23/2023 1:54:31 PM, User = 1
UTC login time = 1/23/2023 1:55:12 PM, User = 1
UTC login time = 1/23/2023 1:56:32 PM, User = 1
UTC login time = 1/23/2023 1:59:25 PM, User = 1
UTC login time = 1/23/2023 2:00:35 PM, User = 1
UTC login time = 1/23/2023 2:01:07 PM, User = 1
UTC login time = 1/23/2023 2:03:52 PM, User = 1
UTC login time = 1/23/2023 2:07:27 PM, User = 1
UTC login time = 1/23/2023 2:07:46 PM, User = 1
UTC login time = 1/23/2023 2:08:54 PM, User = 1
UTC login time = 1/23/2023 2:10:05 PM, User = 1
UTC login time = 1/23/2023 2:10:53 PM, User = 1
UTC login time = 1/23/2023 2:12:30 PM, User = 1
UTC login time = 1/23/2023 2:33:47 PM, User = 1
UTC login time = 1/23/2023 2:35:30 PM, User = 1
UTC login time = 1/23/2023 2:38:54 PM, User = 1
UTC login time = 1/23/2023 2:42:29 PM, User = 1
UTC login time = 1/23/2023 2:43:29 PM, User = 1
UTC login time = 1/23/2023 2:47:28 PM, User = 1
UTC login time = 1/24/2023 12:17:37 PM, User = 1
UTC login time = 1/24/2023 1:28:33 PM, User = 1
UTC login time = 1/24/2023 1:33:08 PM, User = 1
UTC login time = 1/24/2023 1:39:01 PM, User = 1
UTC login time = 1/24/2023 1:51:27 PM, User = 1
UTC login time = 1/24/2023 1:58:10 PM, User = 1
UTC login time = 2/2/2023 10:10:09 PM, User = 1
UTC login time = 2/2/2023 11:36:32 PM, User = 1
UTC login time = 2/2/2023 11:41:22 PM, User = 1
UTC login time = 2/3/2023 12:00:49 AM, User = 1
UTC login time = 2/3/2023 12:08:18 AM, User = 1
UTC login time = 2/6/2023 1:02:50 PM, User = 1
UTC login time = 2/6/2023 2:27:43 PM, User = 1
UTC login time = 2/6/2023 2:29:42 PM, User = 1
UTC login time = 2/6/2023 3:20:36 PM, User = 1
UTC login time = 2/6/2023 4:27:11 PM, User = 1
UTC login time = 2/6/2023 4:32:06 PM, User = 1
UTC login time = 2/6/2023 5:40:36 PM, User = 1
UTC login time = 2/6/2023 5:45:22 PM, User = 1
UTC login time = 2/9/2023 6:20:46 PM, User = 1
